iso3,country,latest_year,access_percentage
TUV,Tuvalu,2024,8.722550432799155
TZA,United Republic of Tanzania,2024,31.32539894760292
UGA,Uganda,2024,18.09712277826907
UKR,Ukraine,2024,87.86837694309784
USA,United States of America,2024,97.56768844373252
UZB,Uzbekistan,2024,81.92950480409681
VIR,United States Virgin Islands,2024,98.67748373706823
VNM,Viet Nam,2024,58.58083913681781
VUT,Vanuatu,2024,19.1970839884387
WLF,Wallis and Futuna Islands,2024,68.89931583443278
WSM,Samoa,2024,62.50194060138003
XKX,"Kosovo (under United Nations 
Security Council Resolution 1244/99)",2024,71.14026831994074
ZAF,South Africa,2024,68.00756387556561
ZWE,Zimbabwe,2024,25.46056335815595
